,Name,Size,Shape,Dtype
1,AwakeEventData/AIRTR01/Acq/numericPosition,1,"(1,)",float32
2,AwakeEventData/AIRTR02/Acq/numericPosition,1,"(1,)",float32
3,AwakeEventData/AWAKEInjPhaseShifter/PhaseReadback/phaseACurrentValue,1,"(1,)",float32
4,AwakeEventData/BLMITT41/Acquisition/acqDesc,1,"(1,)",|S1
5,AwakeEventData/BLMITT41/Acquisition/acqMsg,1,"(1,)",|S1
6,AwakeEventData/BLMITT41/Acquisition/acqState,1,"(1,)",int32
7,AwakeEventData/BLMITT41/Acquisition/acqTime,1,"(1,)",int32
8,AwakeEventData/BLMITT41/Acquisition/alarmStatus,40,"(40,)",int16
9,AwakeEventData/BLMITT41/Acquisition/blrSignalStatus,40,"(40,)",int16
10,AwakeEventData/BLMITT41/Acquisition/calLosses,40,"(40,)",float32
11,AwakeEventData/BLMITT41/Acquisition/calLosses_unit,1,"(1,)",|S4
12,AwakeEventData/BLMITT41/Acquisition/calLosses_unitExponent,1,"(1,)",int32
13,AwakeEventData/BLMITT41/Acquisition/calThresholds,40,"(40,)",float32
14,AwakeEventData/BLMITT41/Acquisition/channelNames,15,"(15,)",|S15
15,AwakeEventData/BLMITT41/Acquisition/deviceName,1,"(1,)",|S5
16,AwakeEventData/BLMITT41/Acquisition/enableExtFlagBIC,2,"(2,)",int32
17,AwakeEventData/BLMITT41/Acquisition/measStamp,1,"(1,)",int32
18,AwakeEventData/BLMITT41/Acquisition/nbOfChannels,1,"(1,)",int32
19,AwakeEventData/BLMITT41/Acquisition/nbOfMeas,1,"(1,)",int32
20,AwakeEventData/BLMITT41/Acquisition/normLosses,40,"(40,)",float32
21,AwakeEventData/BLMITT41/Acquisition/observables,1,"(1,)",int32
22,AwakeEventData/BLMITT41/Acquisition/rawLosses,40,"(40,)",int16
23,AwakeEventData/BLMITT41/Acquisition/superCycleNb,1,"(1,)",int32
24,AwakeEventData/BLMITT41/Acquisition/totalGains,5,"(5,)",int32
25,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/beamIntensity,1,"(1,)",float64
26,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/beamSize,1,"(1,)",float64
27,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/cogX,1,"(1,)",float64
28,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/cogY,1,"(1,)",float64
29,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/height,1,"(1,)",int32
30,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjAmp,1,"(1,)",float64
31,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjAvg,1,"(1,)",float64
32,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjSigma,1,"(1,)",float64
33,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjection,2048,"(2048,)",float64
34,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/imageRawData,2211840,"(1080, 2048)",int16
35,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/imageTimeStamp,1,"(1,)",int64
36,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensityAvg,1,"(1,)",float64
37,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensityHistogram,1000,"(1000,)",int32
38,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensityRMS,1,"(1,)",float64
39,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensitySigma,1,"(1,)",float64
40,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/pixelSize,1,"(1,)",float64
41,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjAmp,1,"(1,)",float64
42,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjAvg,1,"(1,)",float64
43,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjSigma,1,"(1,)",float64
44,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjection,1080,"(1080,)",float64
45,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/width,1,"(1,)",int32
46,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/delayTime,1,"(1,)",float64
47,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/exposureTime,1,"(1,)",float64
48,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/gain,1,"(1,)",int64
49,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/triggerMode,1,"(1,)",|S2
50,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/beamIntensity,1,"(1,)",float64
51,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/beamSize,1,"(1,)",float64
52,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/cogX,1,"(1,)",float64
53,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/cogY,1,"(1,)",float64
54,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/height,1,"(1,)",int32
55,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/horProjAmp,1,"(1,)",float64
56,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/horProjAvg,1,"(1,)",float64
57,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/horProjSigma,1,"(1,)",float64
58,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/horProjection,2592,"(2592,)",float64
59,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/imageRawData,5308416,"(2048, 2592)",int16
60,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/imageTimeStamp,1,"(1,)",int64
61,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/intensityAvg,1,"(1,)",float64
62,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/intensityHistogram,1000,"(1000,)",int32
63,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/intensityRMS,1,"(1,)",float64
64,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/intensitySigma,1,"(1,)",float64
65,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/pixelSize,1,"(1,)",float64
66,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/verProjAmp,1,"(1,)",float64
67,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/verProjAvg,1,"(1,)",float64
68,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/verProjSigma,1,"(1,)",float64
69,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/verProjection,2048,"(2048,)",float64
70,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/width,1,"(1,)",int32
71,AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings/delayTime,1,"(1,)",float64
72,AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings/exposureTime,1,"(1,)",float64
73,AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings/gain,1,"(1,)",int64
74,AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings/triggerMode,1,"(1,)",|S2
75,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/beamIntensity,1,"(1,)",float64
